"first_seen_utc","ioc_id","ioc_value","ioc_type","threat_type","fk_malware","malware_alias","malware_printable","last_seen_utc","confidence_level","reference","tags","anonymous","reporter"
"2024-09-11 20:53:09", "1323629", "72c1f40eafabdcdb3662d1dad9ee2230", "md5_hash", "payload", "win.quasar_rat", "CinaRAT,QuasarRAT,Yggdrasil", "Quasar RAT", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:53:05", "1323626", "6824b9059b9c6f285f3c6caf2ee19ecc", "md5_hash", "payload", "win.ramnit", "Nimnul", "Ramnit", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:53:02", "1323623", "4924a66bde42aa29b4e64216eb8085f2", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:59", "1323620", "3a3b2034d8649f6112faa82e0daba310", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:56", "1323617", "250051046eae3713ed1af118169d9227", "md5_hash", "payload", "win.mars_stealer", "None", "Mars Stealer", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:52", "1323614", "e5b155564a52c8c17a48bf285ded4e62", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:49", "1323611", "bbb65776463dd9ea77b58e098a461a56", "md5_hash", "payload", "win.cryptbot", "None", "CryptBot", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:46", "1323608", "00a411843c891c3fd4f72d6bb2611da7", "md5_hash", "payload", "win.dcrat", "DarkCrystal RAT", "DCRat", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:43", "1323605", "aa63b9c3f01d3d50c77b06c75dd63f88", "md5_hash", "payload", "win.phorpiex", "Trik,phorphiex", "Phorpiex", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:39", "1323602", "9f765c828dda506cd189caa6a4e061fa", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:36", "1323599", "52f47f35616ad4633470e06b3faf9e60", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:33", "1323596", "b2218f5d997fcad8ffd678a82ca0a9b2", "md5_hash", "payload", "win.formbook", "win.xloader", "Formbook", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:30", "1323593", "8cdc5879e6a0549f96cf83f5bd68a2c9", "md5_hash", "payload", "win.agent_tesla", "AgenTesla,AgentTesla,Negasteal", "Agent Tesla", "", "95", "None", "None", "0", "Grim"
"2024-09-11 20:52:26", "1323590", "ddbaaa52ea1192377573a76e4ac8fb7b", "md5_hash", "payload", "win.redline_stealer", "RECORDSTEALER", "RedLine Stealer", "", "95", "None", "None", "0", "Grim"
